Smolder|to burn with no flame and little smoke; to have strong restrained feelings|After we extinguished the bonfire, it continued to smolder for a long time.|
Smooth|having a surface texture that is flat and level with no bumps or uneven spots|The smooth highway pavement was very different from the bumpy dirt roads we are used to traveling.|
Smoothly|in an easy, flowing way|Everything was going smoothly during his driver’s test until he forgot to use his signal to turn and drove through a stop sign.|
Smorgasbord|a collection containing a variety of things|Fitness experts recommend trying a smorgasbord of cardiovascular activities to discover new hobbies.|
Smote|to knock down or kill with great force|With one touch, the war god can smote you into ashes.|
Smother|to restrict or stifle the airflow of someone or something requiring air or oxygen|When the camp leader decided he needed to smother the fire before going to bed, he took his booted foot and stomped it out.|
Smudge|a smeared mark on the surface of something|Wiping her eyes while crying, the bride tried hard not to leave a smudge from her makeup.|
Smuggle|to bring something into or out of a place by concealing it|Police were there to arrest the woman trying to smuggle drugs into the airport.|
Snag|to tear or rip something after catching it on a sharp projection of some kind|I tried not to snag my dress on the rosebush but got it caught anyhow.|
Snaggletooth|a smile with a tooth or teeth that are crooked and project out past others|Many of the first graders have snaggletooth smiles, so they rarely ever tease each other about their crooked teeth.|
Snap|to break|Feeling the tree branch snap beneath my weight, I prepared to hit the ground below.|
Snapshot|an informal photograph taken quickly|While looking through an old photo album, Chelsea found a snapshot of her grandmother when she was very young.|
Snare|a trap|Finding himself in the middle of a bureaucratic snare, the politician wished that he had never trusted his fellow cabinet members.|
